Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
46,BLK-2025-100026,05/17/2025,05/17/2025,Instant (10-15 min),CUST-10715,Pooja Singh,Working Professional,India,Chennai,Tamil Nadu,530733,South,DAI-MI-51205,Dairy & Breakfast,Milk & Curd,Amul Taaza 1L,732.99,4,0.15,-65.82
47,BLK-2025-100027,08/01/2025,08/02/2025,Scheduled Slot,CUST-10500,Ayesha Malhotra,Regular Household,India,Kolkata,West Bengal,521386,East,PER-OR-48203,Personal Care,Oral & Bath Care,Lifebuoy Soap Pack of 3,548.13,1,0.0,96.28
48,BLK-2023-100028,12/08/2023,12/08/2023,Instant (10-15 min),CUST-11698,Pooja Rao,Regular Household,India,Mumbai,Maharashtra,442047,West,SNA-CH-43971,Snacks & Beverages,Chips & Namkeen,Lay's Classic Salted 52g,489.32,2,0.0,54.37
49,BLK-2023-100028,12/08/2023,12/08/2023,Instant (10-15 min),CUST-11698,Pooja Rao,Regular Household,India,Mumbai,Maharashtra,456343,West,SNA-SO-57388,Snacks & Beverages,Soft Drinks & Juices,Tropicana Orange 1L,211.53,1,0.0,35.4
50,BLK-2024-100029,01/27/2024,01/27/2024,Express (30-60 min),CUST-11378,Aryan Agarwal,Working Professional,India,New Delhi,Delhi,528757,North,BAB-BA-72381,Baby Care,Baby Food,Cerelac Wheat 300g,1548.45,2,0.0,265.23
51,BLK-2025-100030,02/08/2025,02/08/2025,Express (30-60 min),CUST-10733,Sanjay Iyer,Regular Household,India,New Delhi,Delhi,219204,North,FRU-FR-19660,Fruits & Vegetables,Fresh Fruits,Banana 1 Dozen,123.03,1,0.2,-23.85
52,BLK-2025-100031,06/30/2025,06/30/2025,Instant (10-15 min),CUST-11230,Myra Kumar,Working Professional,India,Chennai,Tamil Nadu,333337,South,PER-SK-71277,Personal Care,Skin & Hair Care,Himalaya Face Wash 100ml,687.18,1,0.1,94.76
53,BLK-2025-100031,06/30/2025,06/30/2025,Instant (10-15 min),CUST-11230,Myra Kumar,Working Professional,India,Chennai,Tamil Nadu,561632,South,HOM-CL-68338,Home & Cleaning,Cleaning Supplies,Surf Excel 1kg,421.51,1,0.0,104.61
54,BLK-2025-100031,06/30/2025,06/30/2025,Instant (10-15 min),CUST-11230,Myra Kumar,Working Professional,India,Chennai,Tamil Nadu,154167,South,PER-OR-42457,Personal Care,Oral & Bath Care,Lifebuoy Soap Pack of 3,340.66,3,0.0,93.59
55,BLK-2025-100031,06/30/2025,06/30/2025,Instant (10-15 min),CUST-11230,Myra Kumar,Working Professional,India,Chennai,Tamil Nadu,262451,South,GRO-MA-72385,Grocery & Staples,Masala & Spices,Everest Chicken Masala 100g,219.19,1,0.0,36.44
56,BLK-2023-100032,12/26/2023,12/26/2023,Instant (10-15 min),CUST-11585,Sanjay Pillai,Bulk/Office Buyer,India,Bengaluru,Karnataka,394865,South,GRO-MA-26701,Grocery & Staples,Masala & Spices,Catch Turmeric Powder 200g,114.5,1,0.15,-3.63
57,BLK-2023-100032,12/26/2023,12/26/2023,Instant (10-15 min),CUST-11585,Sanjay Pillai,Bulk/Office Buyer,India,Bengaluru,Karnataka,132839,South,GRO-AT-53509,Grocery & Staples,"Atta, Rice & Dals",Tata Sampann Chana Dal 1kg,598.1,3,0.0,35.51
58,BLK-2023-100033,02/28/2023,02/28/2023,Instant (10-15 min),CUST-11080,Ayesha Kumar,Bulk/Office Buyer,India,Gurugram,Delhi,238068,North,DAI-MI-99914,Dairy & Breakfast,Milk & Curd,Nandini Milk 500ml,113.71,2,0.15,-9.79
59,BLK-2023-100033,02/28/2023,02/28/2023,Instant (10-15 min),CUST-11080,Ayesha Kumar,Bulk/Office Buyer,India,Gurugram,Delhi,371081,North,GRO-AT-17515,Grocery & Staples,"Atta, Rice & Dals",Tata Sampann Chana Dal 1kg,370.59,1,0.1,-8.79
60,BLK-2023-100034,02/13/2023,02/13/2023,Instant (10-15 min),CUST-10462,Karan Pillai,Regular Household,India,Pune,Maharashtra,451684,West,BAB-BA-29740,Baby Care,Baby Food,Cerelac Wheat 300g,1318.05,2,0.1,125.65
61,BLK-2023-100034,02/13/2023,02/13/2023,Instant (10-15 min),CUST-10462,Karan Pillai,Regular Household,India,Pune,Maharashtra,259512,West,BAB-DI-87571,Baby Care,Diapers & Wipes,Pampers Diaper Pants M (44pc),1335.31,2,0.1,-48.69
62,BLK-2023-100034,02/13/2023,02/13/2023,Instant (10-15 min),CUST-10462,Karan Pillai,Regular Household,India,Pune,Maharashtra,295669,West,FRU-FR-42307,Fruits & Vegetables,Fresh Vegetables,Potato 1kg,646.21,4,0.15,-43.42
63,BLK-2024-100035,10/13/2024,10/13/2024,Instant (10-15 min),CUST-11499,Ishita Chopra,Bulk/Office Buyer,India,New Delhi,Delhi,440695,North,FRU-FR-98233,Fruits & Vegetables,Fresh Vegetables,Mixed Vegetable Combo 2kg,222.94,1,0.3,-53.16
64,BLK-2024-100035,10/13/2024,10/13/2024,Instant (10-15 min),CUST-11499,Ishita Chopra,Bulk/Office Buyer,India,New Delhi,Delhi,325828,North,GRO-AT-75135,Grocery & Staples,"Atta, Rice & Dals",Tata Sampann Toor Dal 1kg,1072.68,2,0.2,-105.55
65,BLK-2024-100035,10/13/2024,10/13/2024,Instant (10-15 min),CUST-11499,Ishita Chopra,Bulk/Office Buyer,India,New Delhi,Delhi,236399,North,FRU-FR-10427,Fruits & Vegetables,Fresh Fruits,Apple Shimla 1kg,283.28,1,0.1,-40.65
66,BLK-2024-100035,10/13/2024,10/13/2024,Instant (10-15 min),CUST-11499,Ishita Chopra,Bulk/Office Buyer,India,New Delhi,Delhi,192186,North,HOM-CL-97554,Home & Cleaning,Cleaning Supplies,Surf Excel 1kg,241.74,1,0.0,31.96
67,BLK-2025-100036,03/28/2025,03/28/2025,Express (30-60 min),CUST-10648,Saanvi Chopra,Regular Household,India,Bengaluru,Karnataka,404940,South,PER-SK-35826,Personal Care,Skin & Hair Care,Patanjali Aloe Vera Gel 150ml,2179.95,2,0.1,479.54
68,BLK-2025-100036,03/28/2025,03/28/2025,Express (30-60 min),CUST-10648,Saanvi Chopra,Regular Household,India,Bengaluru,Karnataka,179551,South,PER-OR-73623,Personal Care,Oral & Bath Care,Lifebuoy Soap Pack of 3,416.38,1,0.0,56.95
69,BLK-2025-100037,03/30/2025,03/30/2025,Express (30-60 min),CUST-10430,Nikhil Pillai,Regular Household,India,Mumbai,Maharashtra,459980,West,DAI-MI-86360,Dairy & Breakfast,Milk & Curd,Nandini Milk 500ml,37.46,1,0.1,-2.6
70,BLK-2025-100038,10/19/2025,10/19/2025,Scheduled Slot,CUST-11407,Ishaan Verma,Working Professional,India,New Delhi,Delhi,343878,North,FRU-FR-97554,Fruits & Vegetables,Fresh Fruits,Apple Shimla 1kg,311.96,1,0.3,-64.81
71,BLK-2025-100038,10/19/2025,10/19/2025,Scheduled Slot,CUST-11407,Ishaan Verma,Working Professional,India,New Delhi,Delhi,276196,North,FRU-FR-20742,Fruits & Vegetables,Fresh Fruits,Papaya 1pc,932.99,4,0.0,30.15
72,BLK-2025-100038,10/19/2025,10/19/2025,Scheduled Slot,CUST-11407,Ishaan Verma,Working Professional,India,New Delhi,Delhi,575849,North,HOM-CL-22179,Home & Cleaning,Cleaning Supplies,Harpic Toilet Cleaner 1L,356.23,1,0.3,-47.57
73,BLK-2025-100038,10/19/2025,10/19/2025,Scheduled Slot,CUST-11407,Ishaan Verma,Working Professional,India,New Delhi,Delhi,521724,North,HOM-KI-46396,Home & Cleaning,Kitchen & Dining,Milton Steel Casserole 1.5L,487.04,3,0.15,15.33
74,BLK-2025-100039,12/01/2025,12/01/2025,Express (30-60 min),CUST-11043,Divya Chopra,Regular Household,India,Ludhiana,Punjab,312499,North,FRU-FR-19082,Fruits & Vegetables,Fresh Fruits,Mango Alphonso 1kg,291.58,2,0.0,-13.33
75,BLK-2025-100039,12/01/2025,12/01/2025,Express (30-60 min),CUST-11043,Divya Chopra,Regular Household,India,Ludhiana,Punjab,118062,North,FRU-FR-32048,Fruits & Vegetables,Fresh Vegetables,Tomato 1kg,129.47,1,0.15,-11.95
76,BLK-2025-100039,12/01/2025,12/01/2025,Express (30-60 min),CUST-11043,Divya Chopra,Regular Household,India,Ludhiana,Punjab,320470,North,GRO-AT-79870,Grocery & Staples,"Atta, Rice & Dals",Fortune Chakki Atta 10kg,525.1,2,0.05,-10.76
77,BLK-2023-100040,04/29/2023,04/30/2023,Scheduled Slot,CUST-10889,Diya Chopra,Regular Household,India,Ahmedabad,Gujarat,302720,West,DAI-MI-91148,Dairy & Breakfast,Milk & Curd,Amul Toned Milk 1L,123.73,2,0.4,-30.1
78,BLK-2023-100040,04/29/2023,04/30/2023,Scheduled Slot,CUST-10889,Diya Chopra,Regular Household,India,Ahmedabad,Gujarat,303453,West,HOM-KI-77619,Home & Cleaning,Kitchen & Dining,Prestige Non-Stick Pan,4562.6,2,0.3,-321.34
79,BLK-2025-100041,10/08/2025,10/08/2025,Express (30-60 min),CUST-11272,Ayesha Iyer,Working Professional,India,Chennai,Tamil Nadu,590507,South,SNA-SO-33609,Snacks & Beverages,Soft Drinks & Juices,Real Fruit Juice Mixed 1L,283.02,1,0.0,34.33
80,BLK-2024-100042,11/02/2024,11/02/2024,Instant (10-15 min),CUST-10754,Zoya Chopra,Bulk/Office Buyer,India,Faridabad,Haryana,427686,North,GRO-AT-31827,Grocery & Staples,"Atta, Rice & Dals",Daawat Rozana Rice 5kg,3184.29,5,0.0,284.11
81,BLK-2025-100043,08/08/2025,08/09/2025,Scheduled Slot,CUST-10197,Sneha Banerjee,Working Professional,India,Mumbai,Maharashtra,327985,West,GRO-AT-40522,Grocery & Staples,"Atta, Rice & Dals",Aashirvaad Atta 5kg,79.71,1,0.4,-21.44
82,BLK-2024-100044,08/09/2024,08/09/2024,Scheduled Slot,CUST-10953,Ananya Singh,Working Professional,India,New Delhi,Delhi,287432,North,SNA-SO-75314,Snacks & Beverages,Soft Drinks & Juices,Coca-Cola 750ml,215.77,1,0.0,35.38
83,BLK-2023-100045,12/16/2023,12/17/2023,Scheduled Slot,CUST-10513,Vihaan Patel,Regular Household,India,Noida,Delhi,205753,North,PER-SK-89667,Personal Care,Skin & Hair Care,Dove Shampoo 340ml,1520.13,3,0.05,300.36
84,BLK-2023-100045,12/16/2023,12/17/2023,Scheduled Slot,CUST-10513,Vihaan Patel,Regular Household,India,Noida,Delhi,564916,North,HOM-CL-94980,Home & Cleaning,Cleaning Supplies,Colin Glass Cleaner 500ml,275.07,1,0.15,8.96
85,BLK-2023-100045,12/16/2023,12/17/2023,Scheduled Slot,CUST-10513,Vihaan Patel,Regular Household,India,Noida,Delhi,381426,North,PER-OR-37267,Personal Care,Oral & Bath Care,Dettol Soap Pack of 4,1633.84,3,0.2,-53.06
86,BLK-2025-100046,06/19/2025,06/19/2025,Instant (10-15 min),CUST-10083,Diya Singh,Regular Household,India,Hyderabad,Telangana,549108,South,FRU-FR-40420,Fruits & Vegetables,Fresh Vegetables,Mixed Vegetable Combo 2kg,314.27,2,0.0,-8.58
87,BLK-2024-100047,10/22/2024,10/22/2024,Express (30-60 min),CUST-10920,Ishita Verma,Regular Household,India,Ahmedabad,Gujarat,296919,West,PET-PE-92685,Pet Care,Pet Food & Accessories,Pedigree Adult Dog Food 1.2kg,837.13,1,0.1,27.71
88,BLK-2024-100047,10/22/2024,10/22/2024,Express (30-60 min),CUST-10920,Ishita Verma,Regular Household,India,Ahmedabad,Gujarat,454356,West,HOM-CL-70481,Home & Cleaning,Cleaning Supplies,Harpic Toilet Cleaner 1L,2470.81,5,0.0,392.68
89,BLK-2024-100047,10/22/2024,10/22/2024,Express (30-60 min),CUST-10920,Ishita Verma,Regular Household,India,Ahmedabad,Gujarat,390174,West,GRO-MA-31599,Grocery & Staples,Masala & Spices,Catch Turmeric Powder 200g,430.9,2,0.0,80.67
90,BLK-2024-100047,10/22/2024,10/22/2024,Express (30-60 min),CUST-10920,Ishita Verma,Regular Household,India,Ahmedabad,Gujarat,372164,West,GRO-MA-58554,Grocery & Staples,Masala & Spices,Catch Turmeric Powder 200g,149.33,1,0.15,2.36
91,BLK-2024-100048,04/30/2024,04/30/2024,Instant (10-15 min),CUST-11675,Krishna Pillai,Working Professional,India,Pune,Maharashtra,214300,West,SNA-CH-79931,Snacks & Beverages,Chips & Namkeen,Haldiram's Aloo Bhujia 200g,149.41,4,0.3,-17.93
92,BLK-2024-100048,04/30/2024,04/30/2024,Instant (10-15 min),CUST-11675,Krishna Pillai,Working Professional,India,Pune,Maharashtra,554313,West,PER-OR-50314,Personal Care,Oral & Bath Care,Dettol Soap Pack of 4,145.54,1,0.4,-24.2
93,BLK-2024-100049,05/31/2024,05/31/2024,Instant (10-15 min),CUST-10667,Amit Rao,Working Professional,India,Bengaluru,Karnataka,391307,South,FRU-FR-24752,Fruits & Vegetables,Fresh Fruits,Apple Shimla 1kg,547.53,2,0.0,-39.32
94,BLK-2024-100049,05/31/2024,05/31/2024,Instant (10-15 min),CUST-10667,Amit Rao,Working Professional,India,Bengaluru,Karnataka,209640,South,PET-PE-47296,Pet Care,Pet Food & Accessories,Pedigree Adult Dog Food 1.2kg,1808.89,1,0.15,-76.43
95,BLK-2025-100050,04/06/2025,04/06/2025,Instant (10-15 min),CUST-10227,Rajesh Mehta,Regular Household,India,Mumbai,Maharashtra,292746,West,GRO-MA-77533,Grocery & Staples,Masala & Spices,Everest Chicken Masala 100g,314.93,1,0.3,-43.62
96,BLK-2025-100050,04/06/2025,04/06/2025,Instant (10-15 min),CUST-10227,Rajesh Mehta,Regular Household,India,Mumbai,Maharashtra,346885,West,GRO-MA-15322,Grocery & Staples,Masala & Spices,MDH Chana Masala 100g,1680.65,5,0.05,238.01
97,BLK-2025-100050,04/06/2025,04/06/2025,Instant (10-15 min),CUST-10227,Rajesh Mehta,Regular Household,India,Mumbai,Maharashtra,468031,West,HOM-KI-82433,Home & Cleaning,Kitchen & Dining,Milton Steel Casserole 1.5L,275.47,1,0.0,52.63
98,BLK-2025-100050,04/06/2025,04/06/2025,Instant (10-15 min),CUST-10227,Rajesh Mehta,Regular Household,India,Mumbai,Maharashtra,114759,West,DAI-BR-85001,Dairy & Breakfast,Bread & Eggs,Modern Bread 400g,131.61,1,0.15,-17.0
99,BLK-2023-100051,04/29/2023,04/30/2023,Scheduled Slot,CUST-10660,Arjun Patel,Bulk/Office Buyer,India,Kochi,Kerala,434224,South,HOM-KI-41437,Home & Cleaning,Kitchen & Dining,Borosil Glass Set 6pc,1270.04,1,0.4,-93.48
100,BLK-2023-100051,04/29/2023,04/30/2023,Scheduled Slot,CUST-10660,Arjun Patel,Bulk/Office Buyer,India,Kochi,Kerala,400730,South,GRO-ED-15812,Grocery & Staples,Edible Oils & Ghee,Saffola Gold Oil 1L,1296.63,3,0.3,-234.51
101,BLK-2023-100051,04/29/2023,04/30/2023,Scheduled Slot,CUST-10660,Arjun Patel,Bulk/Office Buyer,India,Kochi,Kerala,143167,South,SNA-SO-45400,Snacks & Beverages,Soft Drinks & Juices,Real Fruit Juice Mixed 1L,161.17,1,0.0,19.36
102,BLK-2025-100052,05/22/2025,05/22/2025,Scheduled Slot,CUST-10410,Aarav Chopra,Regular Household,India,Ranchi,Jharkhand,392043,East,FRU-FR-34994,Fruits & Vegetables,Fresh Fruits,Banana 1 Dozen,20.92,1,0.15,-2.94
